make_year,engine_capacity(CC),km_driven,price
2017.0,1198.0,82375.0,590000
2020.0,1497.0,52276.0,718000
2022.0,1197.0,24626.0,757000
2022.0,1462.0,40395.0,1152000
2015.0,1197.0,38116.0,410000
2013.0,1086.0,59572.0,197000
2016.0,998.0,84574.0,374000
2021.0,1493.0,28209.0,979000
2020.0,1199.0,17280.0,678000
2017.0,1197.0,36618.0,542000
2022.0,1451.0,26999.0,1652000
2020.0,1497.0,64788.0,883000
2020.0,999.0,21527.0,418000
2014.0,1197.0,54137.0,362000
2019.0,1197.0,32118.0,662000
2023.0,999.0,9083.0,1383000
2022.0,998.0,24887.0,520000
2020.0,1197.0,31607.0,859000
2022.0,1493.0,34694.0,1654000
2019.0,1497.0,32251.0,1127000
2019.0,2179.0,42625.0,1055000
2019.0,1497.0,74910.0,692000
2018.0,1199.0,44929.0,513000
2017.0,1591.0,83038.0,715000
2015.0,1197.0,76596.0,397000
2022.0,998.0,15612.0,954000
2022.0,999.0,7021.0,629000
2014.0,998.0,64539.0,236000
2020.0,999.0,13341.0,664000
2018.0,1197.0,42726.0,435000
2021.0,1197.0,30058.0,610000
2021.0,1462.0,57060.0,808000
2022.0,1462.0,29231.0,1055000
2020.0,998.0,41307.0,477000
2016.0,1591.0,61059.0,715000
2015.0,1197.0,101695.0,429000
2021.0,796.0,8945.0,364000
2019.0,1197.0,30890.0,582000
2016.0,1197.0,84053.0,434000
2022.0,998.0,22732.0,1084000
2019.0,1086.0,62309.0,407000
2020.0,1451.0,50365.0,1246000
2021.0,1199.0,36520.0,888000
2016.0,1199.0,79166.0,382000
2023.0,998.0,21607.0,467000
2021.0,1493.0,35315.0,860000
2019.0,2179.0,56200.0,949000
2014.0,1373.0,58546.0,404000
2021.0,999.0,30455.0,522000
2022.0,2184.0,62567.0,2322000
2022.0,998.0,12708.0,494000
2017.0,1197.0,60546.0,386000
2012.0,1591.0,38005.0,356000
2015.0,1197.0,80208.0,434000
2017.0,1591.0,76048.0,828000
2011.0,1197.0,55760.0,178000
2020.0,1498.0,71807.0,679000
2020.0,1197.0,55790.0,626000
2016.0,998.0,32747.0,394000
2023.0,1199.0,17297.0,574000
2017.0,1197.0,60964.0,449000
2022.0,999.0,31760.0,556000
2017.0,1197.0,32348.0,476000
2021.0,1197.0,11344.0,574000
2022.0,1199.0,40949.0,721000
2020.0,1199.0,48004.0,493000
2023.0,1199.0,6676.0,536000
2014.0,1197.0,73079.0,372000
2019.0,1956.0,45323.0,994000
2022.0,1197.0,35230.0,626000
2019.0,1368.0,59431.0,1149000
2019.0,2179.0,55608.0,860000
2011.0,1197.0,71630.0,209000
2018.0,1197.0,90833.0,462000
2021.0,1498.0,24617.0,873000
2012.0,1197.0,34096.0,256000
2017.0,998.0,43600.0,473000
2017.0,1197.0,50492.0,400000
2019.0,1248.0,86677.0,632000
2019.0,1086.0,75012.0,437000
2021.0,1086.0,13421.0,472000
2022.0,998.0,22666.0,574000
2017.0,1197.0,22148.0,467000
2020.0,1462.0,24961.0,878000
2022.0,1199.0,15935.0,699000
2018.0,998.0,80107.0,394000
2018.0,1197.0,106608.0,679000
2013.0,1499.0,79269.0,335000
2020.0,799.0,62083.0,356000
2019.0,1197.0,35337.0,540000
2019.0,1497.0,98296.0,616000
2019.0,999.0,68763.0,534000
2023.0,999.0,21044.0,741000
2014.0,1197.0,36652.0,393000
2023.0,1199.0,16393.0,668000
2022.0,999.0,15517.0,432000
2018.0,998.0,65780.0,351000
2018.0,1197.0,58159.0,471000
2018.0,1194.0,66584.0,495000
2014.0,1197.0,85321.0,353000
2019.0,1353.0,49161.0,1316000
2020.0,999.0,12381.0,399000
2019.0,1498.0,49976.0,660000
2022.0,1493.0,36166.0,1034000
2022.0,999.0,18222.0,614000
2020.0,1199.0,67014.0,489000
2020.0,998.0,64311.0,412000
2022.0,999.0,36809.0,652000
2016.0,1591.0,45368.0,655000
2015.0,1591.0,102963.0,569000
2021.0,799.0,36150.0,314000
2016.0,1197.0,89112.0,475000
2022.0,1199.0,12693.0,624000
2015.0,1373.0,56050.0,512000
2018.0,1197.0,40398.0,396000
2020.0,1462.0,82142.0,730000
2021.0,999.0,42886.0,672000
2018.0,1497.0,70008.0,652000
2022.0,1197.0,13103.0,568000
2019.0,1956.0,93467.0,930000
2021.0,1197.0,11486.0,616000
2013.0,1197.0,36536.0,319000
2021.0,1462.0,42381.0,862000
2022.0,1197.0,25782.0,657000
2019.0,1197.0,22779.0,643000
2020.0,1496.0,37628.0,803000
2017.0,1197.0,78186.0,538000
2021.0,1997.0,25411.0,1365000
2021.0,1197.0,30314.0,592000
2018.0,999.0,40904.0,471000
2019.0,2179.0,47525.0,1119000
2019.0,1582.0,67168.0,1037000
2018.0,1199.0,35764.0,421000
2022.0,2184.0,26005.0,1593000
2021.0,799.0,15680.0,304000
2020.0,2184.0,11003.0,1231000
2019.0,1197.0,72742.0,462000
2020.0,1197.0,44365.0,583000
2018.0,1197.0,54458.0,522000
2020.0,1197.0,51871.0,610000
2019.0,1956.0,33306.0,1286000
2020.0,1498.0,62541.0,826000
2017.0,1197.0,47968.0,408000
2020.0,998.0,65103.0,494000
2022.0,999.0,42637.0,795000
2016.0,998.0,44902.0,289000
2023.0,1199.0,8376.0,816000
2019.0,1197.0,43834.0,577000
2017.0,1499.0,48832.0,605000
2017.0,1591.0,87228.0,739000
2022.0,1956.0,44610.0,1655000
2019.0,1197.0,47849.0,537000
2017.0,1197.0,29508.0,511000
2022.0,1462.0,24062.0,1041000
2016.0,1197.0,57121.0,396000
2018.0,1197.0,87009.0,464000
2019.0,1197.0,42870.0,498000
2016.0,796.0,49442.0,234000
2018.0,998.0,87192.0,374000
2016.0,1198.0,27368.0,337000
2020.0,999.0,24963.0,442000
2014.0,1497.0,69403.0,553000
2019.0,1498.0,61329.0,702000
2017.0,1373.0,93032.0,527000
2021.0,1956.0,62380.0,1864000
2019.0,2179.0,46648.0,1099000
2019.0,1197.0,55311.0,622000
2018.0,1197.0,60152.0,476000
2017.0,1199.0,95825.0,471000
2019.0,1199.0,37864.0,543000
2018.0,1199.0,27051.0,515000
2021.0,1997.0,38659.0,1231000
2020.0,999.0,39841.0,342000
2018.0,1197.0,21574.0,630000
2016.0,1197.0,97502.0,396000
2021.0,1199.0,47603.0,530000
2015.0,1198.0,27779.0,367000
2011.0,1197.0,48906.0,222000
2021.0,1353.0,13153.0,1491000
2022.0,999.0,18193.0,836000
2021.0,1497.0,38307.0,1058000
2022.0,1493.0,44548.0,1340000
2023.0,1199.0,12096.0,590000
2020.0,1497.0,80554.0,968000
2019.0,1956.0,36398.0,1357000
2017.0,1197.0,68304.0,486000
2015.0,1197.0,71476.0,443000
2018.0,998.0,52966.0,310000
2019.0,1461.0,40838.0,713000
2022.0,1199.0,22874.0,684000
2018.0,998.0,54534.0,412000
2020.0,1197.0,40924.0,681000
2019.0,1462.0,54342.0,921000
2012.0,1197.0,54388.0,280000
2019.0,1462.0,66068.0,663000
2020.0,1197.0,56215.0,551000
2017.0,999.0,56687.0,279000
2020.0,998.0,15966.0,392000
2019.0,999.0,13568.0,386000
2021.0,999.0,46375.0,654000
2013.0,1197.0,82502.0,281000
2017.0,1591.0,67495.0,832000
2021.0,1197.0,19866.0,765000
2019.0,1497.0,21843.0,692000
2019.0,1493.0,51955.0,1266000
2014.0,1197.0,57224.0,332000
2022.0,999.0,27653.0,918000
2022.0,1199.0,22213.0,675000
2018.0,1199.0,60364.0,430000
2019.0,1086.0,49352.0,413000
2023.0,1197.0,2850.0,710000
2020.0,1197.0,38482.0,602000
2016.0,1591.0,77095.0,700000
2020.0,998.0,18852.0,516000
2019.0,1498.0,92478.0,702000
2021.0,1197.0,52266.0,584000
2014.0,1197.0,87564.0,443000
2017.0,998.0,43683.0,337000
2018.0,799.0,45255.0,225000
2017.0,1197.0,47327.0,502000
2017.0,998.0,60446.0,350000
2020.0,1497.0,61464.0,1172000
2012.0,1197.0,43425.0,251000
2020.0,998.0,54209.0,451000
2017.0,998.0,43944.0,335000
2016.0,1497.0,91272.0,606000
2021.0,1462.0,27739.0,1037000
2017.0,1591.0,41908.0,849000
2021.0,1199.0,44787.0,796000
2018.0,1462.0,45254.0,687000
2015.0,1197.0,51152.0,477000
2015.0,1496.0,94749.0,325000
2020.0,1451.0,66590.0,1269000
2021.0,1493.0,71040.0,980000
2022.0,1462.0,43830.0,1196000
2018.0,1198.0,36153.0,548000
2018.0,1197.0,57568.0,432000
2023.0,1498.0,5061.0,1227000
2015.0,1373.0,109884.0,424000
2016.0,1197.0,58639.0,459000
2019.0,1197.0,30946.0,1056000
2017.0,1497.0,70725.0,613000
2018.0,1373.0,46850.0,575000
2022.0,1199.0,14842.0,1002000
2015.0,1497.0,39168.0,522000
2017.0,1199.0,73180.0,387000
2019.0,2179.0,36660.0,1262000
2019.0,1197.0,109938.0,584000
2015.0,1197.0,66783.0,428000
2019.0,1197.0,39926.0,829000
2020.0,1086.0,62996.0,504000
2014.0,1197.0,33251.0,389000
2019.0,998.0,17536.0,850000
2020.0,998.0,75502.0,432000
2015.0,1197.0,35817.0,377000
2022.0,1997.0,29045.0,1397000
2021.0,1197.0,44186.0,709000
2022.0,1197.0,33898.0,651000
2022.0,998.0,38261.0,616000
2023.0,1199.0,24415.0,969000
2014.0,998.0,57918.0,251000
2021.0,1197.0,12532.0,1011000
2022.0,1462.0,35483.0,870000
2017.0,998.0,49080.0,322000
2011.0,1496.0,71433.0,232000
2021.0,1199.0,43545.0,912000
2019.0,1462.0,46705.0,714000
2019.0,1197.0,48044.0,836000
2019.0,1199.0,79639.0,694000
2020.0,1197.0,30892.0,608000
2014.0,1197.0,89712.0,297000
2012.0,1373.0,52706.0,330000
2017.0,1197.0,84098.0,444000
2017.0,1497.0,115810.0,583000
2018.0,1462.0,76461.0,687000
2018.0,1956.0,53738.0,968000
2019.0,1197.0,65533.0,503000
2019.0,1497.0,64349.0,1053000
2018.0,1197.0,37067.0,608000
2021.0,1197.0,30541.0,631000
2011.0,1197.0,89562.0,230000
2016.0,1197.0,50176.0,390000
2014.0,1197.0,80495.0,360000
2021.0,1497.0,26456.0,1221000
2014.0,1198.0,75833.0,369000
2011.0,1197.0,75338.0,164000
2017.0,1197.0,55771.0,403000
2011.0,1197.0,28823.0,223000
2020.0,1451.0,67143.0,994000
2018.0,1199.0,94259.0,384000
2023.0,1197.0,12061.0,1128000
2011.0,1496.0,83914.0,212000
2019.0,1199.0,37520.0,630000
2021.0,1997.0,37303.0,1473000
2015.0,1197.0,62536.0,311000
2015.0,1197.0,99108.0,322000
2017.0,1591.0,31841.0,771000
2020.0,1197.0,36323.0,652000
2019.0,1462.0,59733.0,751000
2013.0,1197.0,31479.0,316000
2015.0,1198.0,96395.0,327000
2019.0,1197.0,23115.0,607000
2013.0,1598.0,77978.0,314000
2014.0,998.0,65948.0,268000
2015.0,998.0,64427.0,324000
2015.0,1197.0,43805.0,372000
2019.0,2179.0,53206.0,1202000
2019.0,1497.0,58503.0,766000
2022.0,998.0,10797.0,919000
2021.0,2179.0,25366.0,1400000
2022.0,1462.0,15983.0,852000
2013.0,1197.0,61671.0,282000
2017.0,998.0,54614.0,346000
2017.0,1373.0,60227.0,619000
2016.0,998.0,47575.0,429000
2018.0,1197.0,31802.0,555000
2023.0,1197.0,7907.0,898000
2018.0,1194.0,87411.0,442000
2014.0,1497.0,50829.0,497000
2017.0,1197.0,40326.0,522000
2014.0,998.0,81616.0,280000
2021.0,1199.0,24927.0,515000
2020.0,1497.0,25672.0,938000
2018.0,1591.0,48108.0,803000
2020.0,1197.0,35495.0,659000
2017.0,1497.0,42012.0,814000
2020.0,1493.0,82433.0,1036000
2020.0,999.0,29244.0,543000
2022.0,1197.0,36051.0,663000
2015.0,1497.0,77885.0,565000
2020.0,1497.0,64038.0,862000
2014.0,1198.0,58114.0,290000
2022.0,1199.0,22894.0,941000
2019.0,1451.0,14172.0,1288000
2020.0,998.0,49650.0,860000
2016.0,1497.0,30591.0,729000
2018.0,1197.0,75742.0,403000
2012.0,1497.0,77380.0,293000
2023.0,999.0,14050.0,683000
2017.0,998.0,41900.0,396000
2012.0,1373.0,54751.0,407000
2013.0,1198.0,78963.0,252000
2014.0,1197.0,83724.0,362000
2017.0,1197.0,58539.0,420000
2020.0,998.0,18518.0,408000
2019.0,1498.0,68051.0,703000
2018.0,1197.0,103921.0,438000
2019.0,1198.0,27695.0,400000
2019.0,1199.0,70849.0,514000
2019.0,1498.0,78701.0,705000
2020.0,998.0,39602.0,344000
2021.0,1199.0,46101.0,769000
2016.0,796.0,97698.0,220000
2016.0,1497.0,72308.0,523000
2019.0,1197.0,47915.0,627000
2017.0,1497.0,78608.0,578000
2019.0,998.0,57649.0,729000
2016.0,1497.0,97885.0,551000
2019.0,1197.0,34898.0,474000
2021.0,1197.0,33986.0,644000
2021.0,1462.0,29125.0,829000
2018.0,799.0,84695.0,207000
2019.0,998.0,63194.0,394000
2021.0,1197.0,28415.0,638000
2017.0,1197.0,23582.0,438000
2019.0,1197.0,19085.0,459000
2022.0,1199.0,13124.0,967000
2020.0,998.0,30057.0,403000
2022.0,1462.0,15994.0,872000
2022.0,998.0,22078.0,958000
2019.0,1591.0,17333.0,886000
2017.0,1591.0,74436.0,817000
2016.0,1197.0,40875.0,474000
2017.0,998.0,110029.0,325000
2016.0,1197.0,22581.0,391000
2016.0,998.0,79338.0,325000
2021.0,1956.0,30203.0,1546000
2021.0,1197.0,20120.0,644000
2021.0,1199.0,10551.0,522000
2022.0,1199.0,37621.0,723000
2020.0,1197.0,25069.0,570000
2019.0,1197.0,69807.0,447000
2020.0,998.0,43141.0,386000
2018.0,796.0,68182.0,272000
2011.0,1197.0,65182.0,194000
2011.0,1497.0,61297.0,234000
2023.0,1451.0,30857.0,2004000
2015.0,1197.0,75397.0,406000
2016.0,1198.0,52996.0,410000
2015.0,1497.0,48941.0,573000
2015.0,1198.0,95876.0,328000
2019.0,1197.0,47484.0,431000
2021.0,1197.0,38768.0,668000
2021.0,999.0,24365.0,679000
2014.0,998.0,32631.0,288000
2022.0,998.0,29811.0,1024000
2023.0,1462.0,8502.0,994000
2019.0,2179.0,36879.0,1026000
2015.0,998.0,66325.0,312000
2014.0,998.0,53493.0,262000
2021.0,999.0,28929.0,525000
2015.0,1198.0,41525.0,349000
2022.0,1197.0,47217.0,795000
2022.0,999.0,15362.0,408000
2022.0,999.0,7168.0,421000
2021.0,1997.0,30914.0,1340000
2018.0,1497.0,35709.0,721000
2021.0,1997.0,19467.0,1334000
2021.0,1956.0,64687.0,1548000
2020.0,999.0,11812.0,407000
2022.0,1462.0,16405.0,1060000
2022.0,2694.0,21296.0,2051000
2019.0,1199.0,58524.0,504000
2021.0,1197.0,39272.0,710000
2021.0,1498.0,5404.0,1251000
2019.0,1197.0,36124.0,590000
2020.0,1368.0,76041.0,1065000
2011.0,1197.0,47760.0,223000
2017.0,1591.0,94020.0,819000
2019.0,1197.0,57073.0,447000
2016.0,1197.0,33099.0,473000
2016.0,998.0,68891.0,360000
2022.0,1199.0,30719.0,831000
2020.0,998.0,31302.0,436000
2016.0,999.0,20709.0,262000
2015.0,1198.0,44303.0,380000
2022.0,999.0,13843.0,553000
2019.0,1197.0,80225.0,628000
2015.0,1373.0,45419.0,459000
2022.0,1353.0,17046.0,1441000
2015.0,1197.0,71287.0,338000
2021.0,1199.0,19878.0,574000
2020.0,1353.0,57541.0,1438000
2017.0,1197.0,88225.0,407000
2017.0,1197.0,96739.0,374000
2021.0,1498.0,23480.0,887000
2021.0,1197.0,14126.0,553000
2023.0,1462.0,7048.0,1176000
2018.0,998.0,56257.0,367000
2022.0,1497.0,34248.0,1089000
2020.0,1197.0,31279.0,602000
2022.0,1199.0,42490.0,975000
2016.0,1197.0,28221.0,456000
2019.0,1496.0,20751.0,806000
2020.0,1497.0,14693.0,1124000
2022.0,1497.0,51566.0,1162000
2019.0,796.0,60452.0,316000
2016.0,1591.0,69725.0,684000
2022.0,1199.0,21897.0,824000
2011.0,1197.0,82650.0,209000
2015.0,1197.0,99453.0,339000
2016.0,998.0,19759.0,403000
2011.0,1197.0,43560.0,185000
2022.0,999.0,26583.0,874000
2020.0,1197.0,58514.0,626000
2021.0,998.0,50568.0,881000
2015.0,1197.0,63079.0,307000
2018.0,1199.0,50015.0,371000
2022.0,1199.0,39086.0,747000
2020.0,1197.0,27841.0,581000
2012.0,1198.0,86119.0,184000
